JobTitle,Company,Location,PostDate,Salary,Summary,Link
newData Analyst,NYU Langone Health,"New York, NY 10016 (Gramercy area)+1 location",6 days ago,,"Using advanced analytic techniques, the Data Analyst executes ongoing analysis of research initiatives related to health policy, health choice/behavior, health…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BgHAp2-YRN2xG75wB11geajKffmlHLOh1r6ymGvyUjYvCw2GMQZv-vizpTkCPBbK9WpzxJREOhrH1LuXs5qo6ERMtGBcRBrTRrWVW9rs9klmQTvzofbrlDHe9ENmzu1aBEFVMY9R7_4lAawa1AuYznaCbLGRX9SXUeOInw-zLVTSe7PwHlHCNW32OenBcP4aGdRdIcq7CnkGLpZ4mKqZcXWXvlc_nUB0Ii_9r4Ie_auxoKEf04P5iIeA0YxR5n10sO6uE7MPINbd1LLO4eq5CXuW7W2dA7TkUvoC40-qUS7bher6l-qkcbYhZaPIW4pPpPM71Rnlhs5lXmGXzTU7US-nfBTE9J5RFih95hZqKDsrvCTrFuTPE2iOzkFmbuh8lYPrRRPO6_kP0V3q5qOAIrtCEE_EPCHwqZScyJ254KkcTh0m9OtcBE-z8MqyEwOh3Odan5k1ZnpW86oZprMMhhLD5-K88aplfh_JL9o17cF37KEr3LeIJBhGA_EfiDHgkjlYpfgdB7pNE_--3q8o1pQBDb7q4KT0xbcvOWnW3PKR7VUnkZvec1Ukj4Z_cbsAIQnYggXmfj5FzKFcaL1ZdA8__5pJMLBk3xTEiKJDVHd6VyGees2_WFJwvjKdS8-f2D5MHVAMNy4Qm58oKMJ4pUHJcveOSzVMqvi8rRHUdi0DXV1yFD2C_PWesFYCzMJJacU1FWbhgJQmsw8p9MpicHUdhZRCpwXSbwEeYaiRL1lMAAsJhlT2tM4YFUFsYGChPnmE6Goudgh38hc5xQBr_u30J7O76GD4JBJ5iyA-WqfBqfaesZCCQWPNukEkVb4TRewZASwIX4tC5Zk9r1PFs1Qv-4zCrX45PzyIS6TLarqpjOCAJOPn4SCIx3C2IrRsZQtlDTkpXOVEqpMaC_ZKdg2zQc64dkGjL8CrWQGp7SVbMovZyx_Ih1xZ6rsPd4y-ZnspdfOL8D-h5K6Nce531ppikJSWQr8Sy_14tn4Zd0oPvJ6kRy4m0FvJHu4XVYBHnOarUt0B9TUZnWz4BJQkowOUJbtz8OH2BUKUytCH5d4A==&p=0&fvj=0&vjs=3
newData Analyst,Indeed,"New York, NY 10036 (Midtown area)+2 locations",30+ days ago,,"Indeed is seeking a Strategist in New York City to join its Advanced Analytics & Automation team within Sales.
Knowledge of Seismic a plus.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CiRNM7CVr8YueLFKlzwbFWI0o7IjV438l4sVrvKZ0flkywQJjHRBleUMrAsN3oOp9QL9yFWe_legUQZ2fd-2uMpZUPf9zmlwOIwxwM_qzjoUM9BBYRQPXZyD7kKo_fTo23FsZRlDk_uCRjBa3-c_Ol1SH3ZB1W4Rd_OwX9uMXrRa_-uViSJ8pod135kahvIwq62F5XyAC_Dfl1bPE_GBdLaMIPqk4xeM6Ed8ECAbsPMVq2crpoU7Qij7O0HYQ9Ogapc7pX3GLjxdypWhLChSzYyO6og7h3hKdcMy_B9kxJHoEB61GCjJ6rYO6LEvgvUUN1sTQXruhNIiuRSS20iwa9Phb_2l8n3nXbXDY25PjsyPPGXGZqFC3w3kBOrL0UFGhU6qd6qHXXag9IoIVYBVWuz2OMXZRYM6SWyYF6W-Z8601OwF60ZYwjOIUC1qbO7D31dAP-ntmxRZhesyLTioO7849kg72MIRJ7u-wJnCrrT9Vn1Q48Yk7ZDfYtHwwnpX0SFqsttKMiarXWksbb07010XsYORLufOXst4pTxtwWVg==&p=1&fvj=0&vjs=3
newData Analyst,Systemonex INC,"New York, NY",Active 28 days ago,,"The company with relevant services and trustworthy efforts.
Systemonex Inc maintains the standard as suitable scientific techniques and surveys.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BWDhERcgegtO3fQgQ6i1lKFLXqfs8lEm3nmlRKvZdoSOmcEpi6eRTO-dPxXMXK_bLJfB0mdH74lyan7FPkLG0nyn-IGtvU_7fsPnX_CNkm7Dr68KS75cPuHWBWvc-uk5d6aZXzcWOOljsXWltm_XCDo8UHn3syakNbh39sX7q2mVTUjERixs5LqaPyUNMz_SXC60aIicNX6lpMaMOO3mr25sAStBHCZReK1nLMLGIeHgmMpq0WT-JeCX65KB7F1_LGy2KOxOj0skBQsY4grWHjpA-phzWd8HaZm528ZeB9NMr9FQPrAOZVKAalwr6j3JdBmfE8W1RQkrDbLUN1CJC7oeVhi2AxlKKaLusaPks5Y2WDGqMNJo7OPoILsig7cUGw39SQCHNdTdd0JpXk80hRchBfuUiye6T3B06GSSEUBXCMt7uWWVLrI92QifYLDe0YeL4R22Biqlg8YOP3lnSCq-Ttwcfeitg=&p=2&fvj=1&vjs=3
newData Analyst,Think IT Project Management LLC,"New York, NY",Active 1 day ago,,"Responsible for being a key partner in supporting technology infrastructure, software integration and workflow processes that support the organization’s home…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BWYauXHq0x5ZB-vRJfCpsEeVrUZw0X4yuLrovNImIgTRUJVJ_1QQsVMnSZEW3AlanDTjb_kKd1QVUG6NtSotTibsOU-ohpzl5nOt1GYM9YdoVjGtqU-4aPRhfMXUl5PgzydlbbObCzx-1LzQ9kbIDja48sO4orOnVU0W8lcbL4IUDnrv-JJs7YBIZ3CUCF0aRS0uUbEUXM0YWUoHhFokQjLYIf9rXD_97oFjU-ewhbGc4le8Vp3cuAAD7f5cFt3JHIYLF8qB766mT0HxIdpg87ZfTdr88lCgaNNNiwM2SgKPM_Ujq63dOvPIa1pX4wbQsHJ897ZWYv_lZneEDIGPgR33JR6QYDZ3IBt5GBY9qmJMOwFkpF3RaInwSCqsL-aLXFq4ZQM6iEQFR8A3rH18tBgjb3sSMr5hBKqfplDzxqzh3PKE1_3g_CmTxW0SXV38dQy_GvBuFjb9V_TYiOFnOJFU3pZCyS4bPWA3-MP06jvw==&p=3&fvj=1&vjs=3
newData Analyst,GTS,"New York, NY 10022 (Midtown area)+1 location",9 days ago,,You will work alongside a very experienced team to develop and own our suite of data engineering tools crunching millions of records per-day to analyze the firm…,https://www.indeed.com/company/GTS/jobs/Junior-Python-Developer-71acc67a281f6038?fccid=225e56cbd1119db8&vjs=3
newData Analyst,YouTube,"New York, NY+1 location",30+ days ago,,"Bachelor's degree or equivalent practical experience.
2 years of experience in consulting or sales at a technology or media company.",https://www.indeed.com/rc/clk?jk=a19d5d6e71bffeee&fccid=a9021c35fcef6968&vjs=3
newData Analyst,Deloitte,"New York, NY+22 locations",2 days ago,,As an experienced Python Developer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of…,https://www.indeed.com/rc/clk?jk=5ee35e78ac030932&fccid=9e215d88a6b33622&vjs=3
newData Analyst,National Bank of Canada,"New York, NY 10019 (Midtown area)",3 days ago,,"The role will be focused on the development of trading tools in Python, SQL, and Excel.
Developing reports in Python to provide insight into trading strategies.",https://www.indeed.com/rc/clk?jk=c4f99cef7d739649&fccid=bb42ba28e525eb20&vjs=3
newData Analyst,"JPMorgan Chase Bank, N.A.","New York, NY",5 days ago,,"The Systematic Index Structuring team is looking for an Associate level Structurer to join a dynamic team, focused on developing, pricing and marketing…",https://www.indeed.com/rc/clk?jk=d5b234e2c8133582&fccid=aaf3b433897ea465&vjs=3
newData Analyst,Samiti Technology,"New York, NY",1 day ago,,"Design and develop systems to for Commodities trading application in close partnership with Business functions.
5-10 years of Development experience.",https://www.indeed.com/company/Samiti-Technology/jobs/Python-Developer-a7fcd8f45c604602?fccid=76724bcf1160bc9d&vjs=3
newData Analyst,Google,"New York, NY (Chelsea area)+1 location",30+ days ago,,"Bachelor's degree or equivalent practical experience.
2 years of experience in a technical troubleshooting, customer support, and account/campaign management…",https://www.indeed.com/rc/clk?jk=91c523abc4708ce5&fccid=a5b4499d9e91a5c6&vjs=3
newData Analyst,WorkCog,"New York, NY•Remote",Active 2 days ago,,"An experienced Application Developer for a fully remote opportunity supporting a reputable government agency.
At least 5+ years Demonstrated expertise in Python…",https://www.indeed.com/company/WorkCog/jobs/Python-Developer-36ee007222043432?fccid=04542d75b9ce9d61&vjs=3
newData Analyst,Dataworks,"New York, NY+1 location•Remote",Active 2 days ago,,"Competitive leading salary plus benefits.
This is a hands-on role where you will be responsible for delivering a wide range of new products and services that…",https://www.indeed.com/company/Dataworks/jobs/Data-Scientist-5746455e700c978d?fccid=309cb047342d324b&vjs=3
newData Analyst,Google,"New York, NY (Chelsea area)+1 location",30+ days ago,,"3 years of linguistics experience.
2 years of Python coding experience.
Experience with SQL, TensorFlow, and Text Mining.",https://www.indeed.com/rc/clk?jk=57f64f5b692aa801&fccid=a5b4499d9e91a5c6&vjs=3
newData Analyst,Google,"New York, NY (Chelsea area)",14 days ago,,"Bachelor's degree or equivalent practical experience.
3 years of experience in an investment bank, as a fund manager, or with corporate trading.",https://www.indeed.com/rc/clk?jk=46ece462c3bb440f&fccid=a5b4499d9e91a5c6&vjs=3
